Date,Country,Continent,Disaster_Type,Magnitude,Affected_Area_sqkm,Duration_Days,Infrastructure_Damage,Fatalities,Evacuated_People,Economic_Damage_Millions,Alert_Level,International_Aid_Required
12/04/2021,צ'ילה,דרום אמריקה,הוריקן,דרגה 3,2832,5,נזק חלקי לתשתיות,77,6874,1628,קריטית,כן
20/07/2008,הודו,אסיה,שריפת יער,סכנה קיצונית,10191,27,נזק קל בלבד,25,24275,778,גבוהה,כן
06/06/2020,קנדה,צפון אמריקה,רעידת אדמה,6.0 ריכטר,688,1,נזק קל בלבד,224,38433,1337,קריטית,כן
18/05/2005,קנדה,צפון אמריקה,רעידת אדמה,5.9 ריכטר,92,2,הרס נרחב,58,47440,958,גבוהה,כן
23/09/2005,אינדונזיה,אסיה,צונאמי,גלים בגובה 5 מטר,149,3,הרס נרחב,215,34693,1093,קריטית,כן
19/07/2022,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,2064,55,קריסת מערכות מוחלטת,104,47704,894,קריטית,כן
22/08/2012,קנדה,צפון אמריקה,שיטפון,מפלס מים 1.1 מטר,2551,22,הרס נרחב,112,35659,361,גבוהה,כן
22/04/2004,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 1.8 מטר,2303,9,הרס נרחב,278,5539,1963,קריטית,כן
29/06/2014,יפן,אסיה,שריפת יער,סכנה קיצונית,523,50,נזק קל בלבד,91,22353,1036,גבוהה,לא
04/08/2009,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 1.6 מטר,561,16,קריסת מערכות מוחלטת,1,45756,908,קריטית,כן
09/03/2007,איטליה,אירופה,הוריקן,דרגה 1,12666,10,נזק קל בלבד,186,38907,1724,קריטית,כן
15/02/2011,קנדה,צפון אמריקה,שיטפון,מפלס מים 0.6 מטר,2913,14,נזק קל בלבד,130,31215,495,גבוהה,לא
25/12/2021,יפן,אסיה,הוריקן,דרגה 4,2972,2,קריסת מערכות מוחלטת,167,30793,131,קריטית,כן
23/07/2016,טורקיה,אירופה,צונאמי,גלים בגובה 11 מטר,265,2,קריסת מערכות מוחלטת,185,9846,581,קריטית,כן
09/11/2015,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 8 מטר,212,1,נזק חלקי לתשתיות,112,30332,343,גבוהה,כן
15/11/2017,צ'ילה,דרום אמריקה,רעידת אדמה,6.7 ריכטר,241,2,נזק חלקי לתשתיות,144,13503,284,גבוהה,לא
18/09/2013,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 15 מטר,100,1,קריסת מערכות מוחלטת,33,37388,416,קריטית,כן
19/08/2015,יפן,אסיה,הוריקן,דרגה 3,7529,14,קריסת מערכות מוחלטת,81,27527,1002,קריטית,כן
11/08/2012,יפן,אסיה,שיטפון,מפלס מים 3.4 מטר,1495,12,הרס נרחב,237,26699,319,קריטית,כן
20/01/2015,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,11839,6,קריסת מערכות מוחלטת,231,40982,1704,קריטית,כן
10/11/2009,טורקיה,אירופה,רעידת אדמה,6.1 ריכטר,707,4,קריסת מערכות מוחלטת,41,32965,445,קריטית,כן
24/01/2018,איטליה,אירופה,שיטפון,מפלס מים 3.2 מטר,462,8,הרס נרחב,165,19667,241,קריטית,כן
26/08/2014,הודו,אסיה,שריפת יער,סכנה קיצונית,19576,21,נזק חלקי לתשתיות,104,7257,790,גבוהה,לא
30/10/2025,טורקיה,אירופה,שריפת יער,סכנה קיצונית,3578,27,קריסת מערכות מוחלטת,51,36303,1766,קריטית,כן
15/07/2020,"ארה""ב",צפון אמריקה,הוריקן,דרגה 5,8059,5,הרס נרחב,31,18553,1906,קריטית,כן
04/12/2013,אינדונזיה,אסיה,רעידת אדמה,8.3 ריכטר,432,1,קריסת מערכות מוחלטת,73,33544,1309,קריטית,כן
01/02/2010,הודו,אסיה,צונאמי,גלים בגובה 6 מטר,206,3,הרס נרחב,14,39268,1224,קריטית,כן
17/10/2022,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 6 מטר,235,2,קריסת מערכות מוחלטת,165,14911,701,קריטית,כן
26/06/2004,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,13658,11,נזק חלקי לתשתיות,54,1246,1538,קריטית,כן
20/09/2015,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 1.8 מטר,2731,22,קריסת מערכות מוחלטת,284,21791,1151,קריטית,כן
30/01/2001,הודו,אסיה,שיטפון,מפלס מים 3.2 מטר,1496,4,קריסת מערכות מוחלטת,239,6722,339,קריטית,כן
25/10/2018,אינדונזיה,אסיה,צונאמי,גלים בגובה 15 מטר,237,2,נזק קל בלבד,195,34799,363,קריטית,כן
01/07/2001,איטליה,אירופה,שריפת יער,סכנה קיצונית,850,43,קריסת מערכות מוחלטת,13,47314,1317,קריטית,כן
08/05/2022,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,607,44,נזק קל בלבד,206,2182,268,קריטית,כן
02/08/2017,יפן,אסיה,הוריקן,דרגה 5,14303,7,נזק חלקי לתשתיות,45,36348,1341,קריטית,כן
29/12/2009,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,2119,5,נזק קל בלבד,2,30866,1305,קריטית,כן
23/10/2005,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,14729,36,הרס נרחב,281,27953,1730,קריטית,כן
24/08/2008,יפן,אסיה,הוריקן,דרגה 4,6609,11,נזק קל בלבד,268,41159,985,קריטית,כן
28/05/2009,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,9463,16,הרס נרחב,62,22851,1476,קריטית,כן
13/10/2017,קנדה,צפון אמריקה,הוריקן,דרגה 4,3729,11,נזק קל בלבד,152,26999,1158,קריטית,כן
13/11/2022,הודו,אסיה,הוריקן,דרגה 1,6532,12,הרס נרחב,260,47767,574,קריטית,כן
17/03/2004,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 2 מטר,26,2,נזק קל בלבד,286,21616,1321,קריטית,כן
10/07/2003,מקסיקו,צפון אמריקה,רעידת אדמה,5.6 ריכטר,190,3,נזק חלקי לתשתיות,94,22246,1015,גבוהה,כן
15/08/2000,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 2.7 מטר,2677,22,נזק קל בלבד,230,39293,601,קריטית,כן
11/07/2006,מקסיקו,צפון אמריקה,הוריקן,דרגה 3,14684,14,קריסת מערכות מוחלטת,83,22335,1998,קריטית,כן
28/09/2018,אוסטרליה,אוקיאניה,רעידת אדמה,5.7 ריכטר,154,3,נזק קל בלבד,139,49800,1927,קריטית,כן
17/01/2002,אינדונזיה,אסיה,שריפת יער,סכנה קיצונית,10574,60,נזק חלקי לתשתיות,254,14124,1230,קריטית,כן
23/08/2017,איטליה,אירופה,שריפת יער,סכנה קיצונית,15358,49,נזק חלקי לתשתיות,95,13301,458,גבוהה,לא
14/04/2008,אינדונזיה,אסיה,רעידת אדמה,6.4 ריכטר,479,2,נזק חלקי לתשתיות,97,38225,1625,קריטית,כן
16/06/2011,קנדה,צפון אמריקה,שיטפון,מפלס מים 0.7 מטר,2749,7,הרס נרחב,104,10802,54,גבוהה,לא
22/09/2006,טורקיה,אירופה,שיטפון,מפלס מים 3.2 מטר,2143,7,נזק חלקי לתשתיות,73,38880,377,גבוהה,כן
22/10/2013,מקסיקו,צפון אמריקה,רעידת אדמה,6.6 ריכטר,567,3,קריסת מערכות מוחלטת,263,38607,370,קריטית,כן
10/06/2014,איטליה,אירופה,הוריקן,דרגה 4,3169,13,קריסת מערכות מוחלטת,73,28987,589,קריטית,כן
28/07/2006,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,7824,8,הרס נרחב,151,23146,508,קריטית,כן
22/09/2000,"ארה""ב",צפון אמריקה,רעידת אדמה,5.8 ריכטר,320,1,קריסת מערכות מוחלטת,165,13719,473,קריטית,כן
10/04/2008,"ארה""ב",צפון אמריקה,רעידת אדמה,4.5 ריכטר,389,1,נזק קל בלבד,68,49930,317,גבוהה,כן
06/09/2011,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 0.9 מטר,2300,9,הרס נרחב,73,12426,1889,קריטית,כן
17/06/2011,הודו,אסיה,צונאמי,גלים בגובה 14 מטר,42,1,הרס נרחב,185,19191,362,קריטית,כן
04/05/2011,טורקיה,אירופה,הוריקן,דרגה 3,4090,3,נזק חלקי לתשתיות,35,12388,1659,קריטית,כן
01/02/2019,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,5902,7,נזק חלקי לתשתיות,118,7438,1980,קריטית,כן
20/02/2008,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 1.1 מטר,1053,7,נזק חלקי לתשתיות,136,14028,1773,קריטית,כן
18/05/2008,אינדונזיה,אסיה,שיטפון,מפלס מים 2.2 מטר,2007,26,נזק קל בלבד,17,15049,1905,קריטית,כן
06/03/2005,"ארה""ב",צפון אמריקה,הוריקן,דרגה 1,11531,2,קריסת מערכות מוחלטת,146,11482,387,קריטית,כן
24/04/2022,קנדה,צפון אמריקה,רעידת אדמה,8.0 ריכטר,310,3,הרס נרחב,126,39719,1927,קריטית,כן
05/02/2016,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,1305,5,נזק קל בלבד,30,6039,1928,קריטית,כן
17/11/2024,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,14983,7,נזק חלקי לתשתיות,62,33386,410,גבוהה,לא
15/01/2008,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,11865,59,נזק חלקי לתשתיות,129,7615,551,גבוהה,כן
23/10/2018,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,21548,50,קריסת מערכות מוחלטת,118,43939,1986,קריטית,כן
10/01/2019,אינדונזיה,אסיה,רעידת אדמה,4.6 ריכטר,273,4,קריסת מערכות מוחלטת,274,47317,597,קריטית,כן
22/06/2022,יפן,אסיה,שריפת יער,סכנה קיצונית,4018,50,נזק קל בלבד,90,9542,347,גבוהה,כן
06/04/2026,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 10 מטר,253,2,נזק קל בלבד,162,9868,1436,קריטית,כן
03/03/2009,צ'ילה,דרום אמריקה,רעידת אדמה,8.1 ריכטר,300,2,נזק קל בלבד,46,14698,1771,קריטית,כן
12/11/2010,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 1.7 מטר,2515,14,הרס נרחב,49,46342,1541,קריטית,כן
25/05/2001,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,8866,3,נזק חלקי לתשתיות,292,34674,307,קריטית,כן
26/05/2025,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 3.0 מטר,2204,7,נזק קל בלבד,271,23236,392,קריטית,כן
09/01/2005,יפן,אסיה,הוריקן,דרגה 4,14899,3,נזק חלקי לתשתיות,4,33885,1876,קריטית,כן
04/06/2009,"ארה""ב",צפון אמריקה,רעידת אדמה,4.5 ריכטר,504,4,הרס נרחב,169,5533,1047,קריטית,כן
23/12/2000,טורקיה,אירופה,צונאמי,גלים בגובה 10 מטר,239,1,קריסת מערכות מוחלטת,64,18491,770,קריטית,כן
16/11/2023,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 13 מטר,264,1,הרס נרחב,75,32107,1599,קריטית,כן
05/10/2013,"ארה""ב",צפון אמריקה,רעידת אדמה,6.2 ריכטר,270,1,נזק חלקי לתשתיות,110,26432,499,גבוהה,כן
09/05/2005,יפן,אסיה,הוריקן,דרגה 1,2856,5,נזק חלקי לתשתיות,285,27735,612,קריטית,כן
15/11/2001,הודו,אסיה,שיטפון,מפלס מים 0.9 מטר,440,9,נזק חלקי לתשתיות,244,47408,1538,קריטית,כן
06/11/2006,אינדונזיה,אסיה,רעידת אדמה,5.9 ריכטר,718,2,נזק קל בלבד,16,12570,1848,קריטית,כן
30/09/2005,אינדונזיה,אסיה,הוריקן,דרגה 5,14123,13,נזק קל בלבד,107,25259,1226,קריטית,כן
05/04/2019,יפן,אסיה,שיטפון,מפלס מים 1.7 מטר,601,13,נזק חלקי לתשתיות,2,25304,383,בינונית,לא
08/09/2004,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,17464,8,נזק חלקי לתשתיות,251,32315,1372,קריטית,כן
29/04/2020,מקסיקו,צפון אמריקה,רעידת אדמה,4.7 ריכטר,359,1,קריסת מערכות מוחלטת,146,27489,1723,קריטית,כן
09/10/2001,מקסיקו,צפון אמריקה,הוריקן,דרגה 5,5800,6,נזק קל בלבד,49,39774,1527,קריטית,כן
06/02/2016,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,3311,50,נזק קל בלבד,228,20757,90,קריטית,כן
31/07/2005,יפן,אסיה,רעידת אדמה,5.1 ריכטר,707,4,הרס נרחב,59,18750,1756,קריטית,כן
01/07/2022,הודו,אסיה,שיטפון,מפלס מים 1.5 מטר,2318,5,נזק חלקי לתשתיות,78,35852,1620,קריטית,כן
01/07/2024,אינדונזיה,אסיה,רעידת אדמה,6.3 ריכטר,159,1,הרס נרחב,131,18776,1721,קריטית,כן
10/11/2002,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 0.9 מטר,1127,19,קריסת מערכות מוחלטת,210,26172,1114,קריטית,כן
08/04/2024,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,19662,30,הרס נרחב,32,44093,1596,קריטית,כן
01/01/2014,אינדונזיה,אסיה,רעידת אדמה,4.9 ריכטר,218,3,נזק קל בלבד,223,30094,1579,קריטית,כן
15/11/2022,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 3.5 מטר,773,18,נזק חלקי לתשתיות,105,32499,1519,קריטית,כן
15/12/2004,איטליה,אירופה,שיטפון,מפלס מים 3.2 מטר,2612,11,נזק קל בלבד,75,11968,1107,גבוהה,כן
21/05/2016,טורקיה,אירופה,צונאמי,גלים בגובה 5 מטר,253,3,נזק חלקי לתשתיות,45,24313,1326,קריטית,כן
04/07/2023,איטליה,אירופה,הוריקן,דרגה 2,6450,3,הרס נרחב,284,36625,1495,קריטית,כן
18/01/2009,אוסטרליה,אוקיאניה,הוריקן,דרגה 4,7564,9,קריסת מערכות מוחלטת,202,28585,1592,קריטית,כן
22/07/2009,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 3.6 מטר,1822,19,קריסת מערכות מוחלטת,109,44200,194,קריטית,כן
04/04/2002,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,15023,35,נזק חלקי לתשתיות,224,37774,461,קריטית,כן
06/03/2014,איטליה,אירופה,צונאמי,גלים בגובה 4 מטר,256,3,הרס נרחב,132,28640,1157,גבוהה,לא
01/12/2002,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,9932,51,הרס נרחב,49,45317,1184,גבוהה,כן
21/04/2008,קנדה,צפון אמריקה,צונאמי,גלים בגובה 5 מטר,192,3,נזק חלקי לתשתיות,3,39376,990,גבוהה,לא
31/07/2020,מקסיקו,צפון אמריקה,הוריקן,דרגה 1,9670,11,קריסת מערכות מוחלטת,114,5981,252,קריטית,כן
01/08/2005,איטליה,אירופה,צונאמי,גלים בגובה 9 מטר,120,2,נזק חלקי לתשתיות,4,23086,1415,קריטית,כן
18/04/2024,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 1.2 מטר,2686,24,קריסת מערכות מוחלטת,49,14917,708,קריטית,כן
22/07/2020,טורקיה,אירופה,שריפת יער,סכנה קיצונית,23336,31,קריסת מערכות מוחלטת,29,31651,1619,קריטית,כן
08/06/2007,איטליה,אירופה,רעידת אדמה,5.8 ריכטר,89,1,הרס נרחב,25,20193,1442,קריטית,כן
12/06/2025,קנדה,צפון אמריקה,צונאמי,גלים בגובה 14 מטר,195,1,קריסת מערכות מוחלטת,122,8303,1106,קריטית,כן
29/11/2021,מקסיקו,צפון אמריקה,צונאמי,גלים בגובה 3 מטר,132,2,נזק חלקי לתשתיות,84,34847,223,גבוהה,לא
03/04/2009,"ארה""ב",צפון אמריקה,רעידת אדמה,5.1 ריכטר,193,2,הרס נרחב,104,13764,240,גבוהה,כן
16/09/2016,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,20021,22,נזק חלקי לתשתיות,56,4569,75,גבוהה,לא
01/03/2016,אינדונזיה,אסיה,הוריקן,דרגה 5,5899,13,נזק חלקי לתשתיות,97,32284,1869,קריטית,כן
05/08/2009,הודו,אסיה,שיטפון,מפלס מים 1.3 מטר,707,21,נזק חלקי לתשתיות,285,31597,410,קריטית,כן
28/08/2010,יפן,אסיה,שיטפון,מפלס מים 1.0 מטר,593,27,נזק קל בלבד,135,45564,433,גבוהה,כן
03/04/2003,אינדונזיה,אסיה,שיטפון,מפלס מים 0.5 מטר,1440,25,נזק חלקי לתשתיות,218,6016,961,קריטית,כן
30/03/2012,אוסטרליה,אוקיאניה,רעידת אדמה,5.4 ריכטר,142,1,נזק קל בלבד,272,22043,15,קריטית,כן
13/05/2005,מקסיקו,צפון אמריקה,רעידת אדמה,4.7 ריכטר,310,4,נזק חלקי לתשתיות,222,11340,868,קריטית,כן
08/01/2025,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,18422,38,נזק קל בלבד,225,42511,1281,קריטית,כן
28/11/2015,קנדה,צפון אמריקה,שיטפון,מפלס מים 1.4 מטר,2324,20,הרס נרחב,125,14297,1058,גבוהה,כן
17/10/2003,הודו,אסיה,הוריקן,דרגה 2,14236,2,קריסת מערכות מוחלטת,1,44227,1428,קריטית,כן
15/02/2013,יפן,אסיה,רעידת אדמה,7.9 ריכטר,143,1,קריסת מערכות מוחלטת,54,39469,1632,קריטית,כן
13/07/2009,יפן,אסיה,צונאמי,גלים בגובה 13 מטר,65,3,קריסת מערכות מוחלטת,148,41661,565,קריטית,כן
09/03/2014,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 2 מטר,138,2,נזק קל בלבד,270,48826,94,קריטית,כן
26/07/2014,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,7433,20,נזק קל בלבד,265,47085,1909,קריטית,כן
11/02/2006,קנדה,צפון אמריקה,שריפת יער,סכנה קיצונית,11593,17,נזק חלקי לתשתיות,138,30860,50,גבוהה,כן
13/02/2009,אינדונזיה,אסיה,צונאמי,גלים בגובה 14 מטר,123,2,נזק קל בלבד,209,969,1250,קריטית,כן
21/02/2018,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,8905,5,קריסת מערכות מוחלטת,263,29428,720,קריטית,כן
22/12/2001,אוסטרליה,אוקיאניה,הוריקן,דרגה 2,11712,3,נזק חלקי לתשתיות,103,42263,1745,קריטית,כן
20/12/2014,יפן,אסיה,רעידת אדמה,8.2 ריכטר,200,4,הרס נרחב,134,31054,246,גבוהה,כן
21/08/2024,אינדונזיה,אסיה,צונאמי,גלים בגובה 3 מטר,227,1,קריסת מערכות מוחלטת,254,7649,180,קריטית,כן
25/04/2015,צ'ילה,דרום אמריקה,רעידת אדמה,5.0 ריכטר,156,2,נזק חלקי לתשתיות,200,8335,570,קריטית,כן
02/02/2013,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 4 מטר,202,1,קריסת מערכות מוחלטת,245,16960,1765,קריטית,כן
11/02/2012,"ארה""ב",צפון אמריקה,הוריקן,דרגה 2,11258,8,הרס נרחב,241,45207,485,קריטית,כן
29/09/2012,הודו,אסיה,צונאמי,גלים בגובה 9 מטר,300,2,הרס נרחב,18,40603,437,גבוהה,כן
15/10/2015,"ארה""ב",צפון אמריקה,רעידת אדמה,7.6 ריכטר,88,4,קריסת מערכות מוחלטת,210,19610,321,קריטית,כן
15/10/2002,מקסיקו,צפון אמריקה,שיטפון,מפלס מים 3.1 מטר,2690,21,נזק חלקי לתשתיות,275,7354,1891,קריטית,כן
07/04/2019,קנדה,צפון אמריקה,הוריקן,דרגה 4,6495,10,הרס נרחב,193,34797,1508,קריטית,כן
18/07/2010,אוסטרליה,אוקיאניה,רעידת אדמה,5.4 ריכטר,718,1,קריסת מערכות מוחלטת,119,37030,1537,קריטית,כן
20/12/2011,קנדה,צפון אמריקה,שיטפון,מפלס מים 2.4 מטר,2612,29,נזק קל בלבד,117,49105,14,גבוהה,כן
11/06/2023,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,13464,15,נזק קל בלבד,64,1437,245,גבוהה,לא
13/03/2014,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,24364,13,נזק קל בלבד,61,32792,560,גבוהה,כן
12/12/2018,"ארה""ב",צפון אמריקה,שריפת יער,סכנה קיצונית,8434,57,הרס נרחב,189,43168,452,קריטית,כן
25/07/2011,טורקיה,אירופה,רעידת אדמה,7.7 ריכטר,332,1,קריסת מערכות מוחלטת,183,16254,1470,קריטית,כן
18/05/2006,אוסטרליה,אוקיאניה,צונאמי,גלים בגובה 12 מטר,101,3,קריסת מערכות מוחלטת,272,14906,1813,קריטית,כן
28/09/2007,טורקיה,אירופה,צונאמי,גלים בגובה 3 מטר,79,3,נזק חלקי לתשתיות,63,13392,1052,גבוהה,לא
10/09/2016,אינדונזיה,אסיה,הוריקן,דרגה 4,2451,4,הרס נרחב,15,32806,238,גבוהה,כן
07/10/2000,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 2.4 מטר,2568,4,נזק קל בלבד,216,42544,1363,קריטית,כן
05/03/2010,איטליה,אירופה,הוריקן,דרגה 2,14320,8,נזק קל בלבד,228,43898,893,קריטית,כן
05/10/2018,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,24416,14,הרס נרחב,190,18727,247,קריטית,כן
15/06/2023,"ארה""ב",צפון אמריקה,צונאמי,גלים בגובה 6 מטר,171,1,הרס נרחב,183,12423,120,קריטית,כן
23/12/2014,אינדונזיה,אסיה,צונאמי,גלים בגובה 11 מטר,169,2,הרס נרחב,287,25158,98,קריטית,כן
11/07/2016,צ'ילה,דרום אמריקה,שיטפון,מפלס מים 2.8 מטר,637,4,נזק חלקי לתשתיות,73,34828,1085,גבוהה,כן
13/06/2006,איטליה,אירופה,שיטפון,מפלס מים 0.8 מטר,386,15,הרס נרחב,236,29055,904,קריטית,כן
26/10/2007,אינדונזיה,אסיה,צונאמי,גלים בגובה 13 מטר,263,2,נזק חלקי לתשתיות,191,26172,1531,קריטית,כן
23/09/2015,אינדונזיה,אסיה,הוריקן,דרגה 4,1613,6,נזק קל בלבד,132,33250,992,גבוהה,כן
30/10/2016,הודו,אסיה,שריפת יער,סכנה קיצונית,18800,31,נזק חלקי לתשתיות,192,32332,2,קריטית,כן
14/08/2016,"ארה""ב",צפון אמריקה,רעידת אדמה,4.6 ריכטר,696,3,קריסת מערכות מוחלטת,199,48385,582,קריטית,כן
25/07/2021,מקסיקו,צפון אמריקה,שריפת יער,סכנה קיצונית,19395,49,קריסת מערכות מוחלטת,96,19840,713,קריטית,כן
27/10/2014,"ארה""ב",צפון אמריקה,רעידת אדמה,8.2 ריכטר,422,2,נזק קל בלבד,60,4052,1449,קריטית,כן
14/11/2001,אינדונזיה,אסיה,צונאמי,גלים בגובה 5 מטר,128,1,קריסת מערכות מוחלטת,199,28609,111,קריטית,כן
06/05/2023,מקסיקו,צפון אמריקה,הוריקן,דרגה 2,4376,4,הרס נרחב,107,1388,1181,גבוהה,לא
05/08/2025,איטליה,אירופה,רעידת אדמה,6.7 ריכטר,530,2,הרס נרחב,185,10478,1167,קריטית,כן
01/10/2015,אינדונזיה,אסיה,צונאמי,גלים בגובה 5 מטר,235,2,קריסת מערכות מוחלטת,193,20744,1688,קריטית,כן
02/12/2017,איטליה,אירופה,הוריקן,דרגה 3,1241,9,נזק חלקי לתשתיות,34,2738,516,גבוהה,לא
18/06/2019,אינדונזיה,אסיה,צונאמי,גלים בגובה 10 מטר,24,1,נזק קל בלבד,208,46669,1893,קריטית,כן
28/02/2005,הודו,אסיה,שריפת יער,סכנה קיצונית,16799,36,קריסת מערכות מוחלטת,75,9586,1217,קריטית,כן
17/10/2016,איטליה,אירופה,רעידת אדמה,5.8 ריכטר,678,1,קריסת מערכות מוחלטת,9,48105,1527,קריטית,כן
01/07/2023,אוסטרליה,אוקיאניה,הוריקן,דרגה 1,13831,2,הרס נרחב,280,5357,650,קריטית,כן
08/02/2004,צ'ילה,דרום אמריקה,צונאמי,גלים בגובה 3 מטר,231,2,קריסת מערכות מוחלטת,202,12071,1649,קריטית,כן
05/11/2025,איטליה,אירופה,שריפת יער,סכנה קיצונית,7968,14,קריסת מערכות מוחלטת,139,9337,1838,קריטית,כן
26/11/2002,איטליה,אירופה,צונאמי,גלים בגובה 6 מטר,144,3,נזק חלקי לתשתיות,272,25879,1481,קריטית,כן
27/08/2013,צ'ילה,דרום אמריקה,שריפת יער,סכנה קיצונית,16053,49,קריסת מערכות מוחלטת,89,45757,1973,קריטית,כן
22/03/2020,יפן,אסיה,שריפת יער,סכנה קיצונית,20727,32,הרס נרחב,271,9381,1917,קריטית,כן
29/11/2003,"ארה""ב",צפון אמריקה,רעידת אדמה,4.5 ריכטר,394,3,נזק קל בלבד,265,36797,460,קריטית,כן
11/01/2013,הודו,אסיה,שיטפון,מפלס מים 3.0 מטר,1058,30,נזק חלקי לתשתיות,152,34911,409,קריטית,כן
21/12/2018,יפן,אסיה,שריפת יער,סכנה קיצונית,20328,16,נזק חלקי לתשתיות,137,22843,1717,קריטית,כן
21/11/2017,אוסטרליה,אוקיאניה,רעידת אדמה,6.6 ריכטר,800,4,נזק חלקי לתשתיות,251,33127,943,קריטית,כן
14/02/2026,יפן,אסיה,צונאמי,גלים בגובה 14 מטר,107,3,הרס נרחב,75,19141,1214,קריטית,כן
16/04/2002,צ'ילה,דרום אמריקה,הוריקן,דרגה 2,3627,12,קריסת מערכות מוחלטת,219,26484,1451,קריטית,כן
06/11/2009,טורקיה,אירופה,צונאמי,גלים בגובה 6 מטר,70,2,קריסת מערכות מוחלטת,117,45253,1464,קריטית,כן
14/03/2001,הודו,אסיה,רעידת אדמה,6.7 ריכטר,793,3,נזק קל בלבד,26,23046,1807,קריטית,כן
04/06/2012,הודו,אסיה,הוריקן,דרגה 2,11675,5,נזק חלקי לתשתיות,173,14471,350,קריטית,כן
11/07/2022,אוסטרליה,אוקיאניה,שריפת יער,סכנה קיצונית,18112,44,נזק קל בלבד,130,18534,577,גבוהה,כן
14/03/2012,יפן,אסיה,שיטפון,מפלס מים 3.2 מטר,2616,11,קריסת מערכות מוחלטת,149,18649,754,קריטית,כן
18/03/2006,אוסטרליה,אוקיאניה,שיטפון,מפלס מים 0.5 מטר,2581,15,הרס נרחב,127,7038,856,גבוהה,לא
08/12/2021,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 3.4 מטר,2404,12,נזק חלקי לתשתיות,54,25543,705,גבוהה,כן
02/05/2005,הודו,אסיה,צונאמי,גלים בגובה 2 מטר,55,2,קריסת מערכות מוחלטת,180,30862,316,קריטית,כן
27/07/2002,אוסטרליה,אוקיאניה,הוריקן,דרגה 3,9451,12,נזק קל בלבד,205,20151,571,קריטית,כן
09/01/2003,"ארה""ב",צפון אמריקה,שיטפון,מפלס מים 3.5 מטר,742,8,קריסת מערכות מוחלטת,269,31017,399,קריטית,כן
22/08/2018,איטליה,אירופה,רעידת אדמה,6.8 ריכטר,240,2,נזק קל בלבד,282,17607,592,קריטית,כן
31/10/2005,הודו,אסיה,רעידת אדמה,6.9 ריכטר,413,3,נזק קל בלבד,124,44393,1076,גבוהה,כן
03/09/2010,טורקיה,אירופה,שיטפון,מפלס מים 3.6 מטר,799,27,נזק קל בלבד,148,6723,1112,גבוהה,כן
03/07/2017,צ'ילה,דרום אמריקה,הוריקן,דרגה 5,5686,6,נזק חלקי לתשתיות,69,31493,1709,קריטית,כן
09/12/2002,יפן,אסיה,שריפת יער,סכנה קיצונית,12389,28,קריסת מערכות מוחלטת,35,5774,1760,קריטית,כן
